#NAME	EI_01	EI_02	EI_03	EI_04	EI_05	EI_06	EI_07	EI_08	EI_09	EI_10	EI_11	EI_12	EI_13	EI_14	EI_15	EI_16	EI_17	EI_18	EI_19	EI_20	EI_21	EI_22	EI_23	EI_24
#CLASS:Condition	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Affected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected	Unaffected
#CLASS:Treatment	Sham	Sham	Sham	Sham	Sham	Sham	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Sham	Sham	Sham	Sham	Sham	Sham	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin
#CLASS:Sex	Female	Female	Female	Male	Male	Male	Female	Female	Female	Male	Male	Male	Female	Female	Female	Male	Male	Male	Female	Female	Female	Male	Male	Male
ENSMUSG00000000581	16.90070315	12.35573234	8.472131814	11.18823816	10.3479043	10.10197279	37.33652035	20.00093977	9.111477462	20.82287465	9.16526947	13.58116333	10.57491912	7.951937943	13.45428184	6.897941024	9.986452903	8.297912582	10.58979569	10.28234983	8.971108109	8.809970912	10.45208043	8.785660564
ENSMUSG00000000594	16.344229	9.074135	12.119452	15.005361	13.122518	22.668365	28.993641	29.361616	41.537273	20.843496	20.708504	24.091061	26.824003	27.509577	31.967741	26.395714	29.720461	28.290098	27.820486	30.808043	25.481466	24.861483	22.628845	26.355463
ENSMUSG00000000600	2.699264	4.25871	5.28783	1.480253	2.266783	2.26725	2.208088	2.488269	1.800161	2.741811	2.590389	0	2.469813	2.641608	1.565063	3.296137	2.880129	1.539282	0	1.898757	2.170607	1.357127	2.087029	1.689313
ENSMUSG00000000605	10.668699	11.946526	11.401505	9.452868	8.610386	13.800266	11.86653	1.707776	11.023225	9.828102	13.212458	9.300793	10.754116	12.092783	9.513694	11.07171	10.85006	13.655187	9.80451	9.616201	10.387647	11.253119	3.441146	13.465332
ENSMUSG00000000631	13.36485209	14.71248985	13.59482228	15.01535874	13.44660495	10.14596015	1.756189277	5.258790325	14.13000844	10.48647683	14.38628375	6.445465026	11.52365671	15.30820984	7.554473197	6.971345532	12.42449617	14.59018605	9.906128961	11.69493443	11.50876418	8.137781156	11.17259033	12.38515578
ENSMUSG00000000673	88.884323	23.168736	2.152455	114.607826	20.144737	211.077454	586.367676	449.326721	310.459595	266.809631	224.524338	441.473114	473.469849	372.800415	573.569763	652.837219	437.208801	273.063995	434.55603	444.608978	498.91272	429.598328	449.082428	483.793762
ENSMUSG00000000682	13.565042	6.695923	18.781843	4.601015	6.546904	10.516872	20.085184	27.908434	6.955244	5.311026	7.202027	8.063252	4.355282	6.226219	12.363829	3.785223	5.468955	3.201746	7.587162	11.112691	9.873864	3.725535	4.162602	3.639729
ENSMUSG00000000686	11.276368	19.659153	2.646983	26.258043	14.273145	10.208037	8.684745	10.171566	18.678505	15.992984	18.568493	16.723398	16.789867	14.869534	13.980149	23.07336	17.88122	23.856936	11.994554	9.436387	19.740671	15.472935	25.022821	22.17865
ENSMUSG00000000708	15.646827	15.694843	18.286596	20.3423	14.87237	19.703815	13.546548	13.234406	18.605286	15.988714	20.58791	14.731729	16.860018	19.762224	16.754112	17.547527	20.465158	21.269421	16.46088	15.852434	19.550049	17.697678	19.262329	15.755454
ENSMUSG00000000711	25.10022	26.914774	27.944054	25.499897	19.729174	32.057247	22.607971	20.137121	35.018208	28.239937	28.985434	25.592716	28.847187	35.116146	27.259682	32.975849	33.584999	33.410873	32.797073	29.777903	38.931862	33.129055	33.074547	35.16943
